"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Mar 15 03:07:51 BDT 2024","Fri Mar 15 03:07:51 BDT 2024","0","All Test Suite","Edge","testcases.TestBrowserResponsiveness","testcases.TestBrowserResponsiveness","initialize","initialize",""
"broken","Sun Mar 17 20:53:20 BDT 2024","Sun Mar 17 20:53:34 BDT 2024","13733","All Test Suite","D:/MobyPayProject/MobyPayProject/src/test/java/testcases","testcases.TestSubmittingForm","testcases.TestSubmittingForm","mobyPayHomeFormPageLogInWithInvalid","mobyPayHomeFormPageLogInWithInvalid",""
"passed","Sun Mar 17 20:50:30 BDT 2024","Sun Mar 17 20:51:08 BDT 2024","38063","All Test Suite","D:/MobyPayProject/MobyPayProject/src/test/java/testcases","testcases.TestSubmittingForm","testcases.TestSubmittingForm","mobyPayHomeFormPageLogInWithValidCredentials","mobyPayHomeFormPageLogInWithValidCredentials",""
"broken","Sun Mar 17 22:30:52 BDT 2024","Sun Mar 17 22:30:52 BDT 2024","3","Default Suite","MobyPayProject","testcases.TestDifferentDevices","testcases.TestDifferentDevices","aVoid","aVoid",""
"broken","Fri Mar 15 03:08:34 BDT 2024","Fri Mar 15 03:08:34 BDT 2024","1","All Test Suite","Firefox","testcases.TestBrowserResponsiveness","testcases.TestBrowserResponsiveness","initialize","initialize",""
"broken","Sun Mar 17 20:52:52 BDT 2024","Sun Mar 17 20:53:06 BDT 2024","13831","All Test Suite","D:/MobyPayProject/MobyPayProject/src/test/java/testcases","testcases.TestSubmittingForm","testcases.TestSubmittingForm","mobyPayHomeFormPageLogInWithInvalid","mobyPayHomeFormPageLogInWithInvalid",""
"broken","Sun Mar 17 20:52:11 BDT 2024","Sun Mar 17 20:52:25 BDT 2024","13928","All Test Suite","D:/MobyPayProject/MobyPayProject/src/test/java/testcases","testcases.TestSubmittingForm","testcases.TestSubmittingForm","mobyPayHomeFormPageLogInWithInvalid","mobyPayHomeFormPageLogInWithInvalid",""
"passed","Sun Mar 17 20:50:03 BDT 2024","Sun Mar 17 20:50:30 BDT 2024","26940","All Test Suite","EdgeTest","testcases.TestBrowserResponsiveness","testcases.TestBrowserResponsiveness","mobyPayHomePage","mobyPayHomePage",""
"broken","Sun Mar 17 20:48:54 BDT 2024","Sun Mar 17 20:48:54 BDT 2024","2","All Test Suite","Chrome Test","testcases.TestBrowserResponsiveness","testcases.TestBrowserResponsiveness","initialize","initialize",""
"broken","Sun Mar 17 20:51:43 BDT 2024","Sun Mar 17 20:51:57 BDT 2024","13666","All Test Suite","D:/MobyPayProject/MobyPayProject/src/test/java/testcases","testcases.TestSubmittingForm","testcases.TestSubmittingForm","mobyPayHomeFormPageLogInWithInvalid","mobyPayHomeFormPageLogInWithInvalid",""
